Identyfikator,Projekt,Zgłaszający,Przypisany do,Priorytet,Ważność,Powtarzalność,Wersja produktu,Kategoria,Data zgłoszenia,System operacyjny,Wersja systemu,Platforma,Widoczność,Aktualizacja,Temat,Status,Rozwiązanie,Poprawione w wersji
0002088,klewickai,klewickai,,normalny,ważny,zawsze,,Funkcjonalny,2023-04-22,Windows,11,Chrome 112.0.5615.121    ,prywatny,2023-04-25,[COMMENTS] Dodawanie nowego komentarza usuwa nasz poprzedni komentarz,nowy,otwarty,
0002087,klewickai,klewickai,,pilny,błąd krytyczny,zawsze,,Funkcjonalny,2023-04-22,Windows,11,Chrome 112.0.5615.121 ,prywatny,2023-04-25,[ORDER]  brak możliwości zapłaty poprzez Check payments,nowy,otwarty,
0002086,klewickai,klewickai,,pilny,błąd krytyczny,zawsze,,Funkcjonalny,2023-04-22,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[ORDER] Niepowodzenie płatności PayPal,nowy,otwarty,
0002085,klewickai,klewickai,,pilny,błąd krytyczny,zawsze,,Funkcjonalny,2023-04-22,Windows,11,Chrome 112.0.5615.121    ,prywatny,2023-04-25,[ORDER] Brak numeru konta bankowego przy płatności przelewem,nowy,otwarty,
0002036,klewickai,klewickai,,normalny,ważny,zawsze,,Funkcjonalny,2023-04-21,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Newsletter] Brak walidacji adresu e-mail podczas subskrypcji,nowy,otwarty,
0001982,klewickai,klewickai,,normalny,poprawka,zawsze,,Usability,2023-04-20,,,,prywatny,2023-04-25,[BLOG/SEARCH] dwie wyszukiwarki obok siebie w pasku bocznym,nowy,otwarty,
0001922,klewickai,klewickai,,normalny,ważny,zawsze,,Niefunkcjonalny,2023-04-20,Windows,11,Chrome 112.0.5615.121    ,prywatny,2023-04-25,[BLOG] brak wpisów na głównej stronie bloga,nowy,otwarty,
0001900,klewickai,klewickai,,wysoki,ważny,zawsze,,Funkcjonalny,2023-04-20,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[View cart] nie działa przycisk widoku koszyka,nowy,otwarty,
0001896,klewickai,klewickai,,normalny,ważny,zawsze,,Niefunkcjonalny,2023-04-20,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[CONTACT] niepoprawna lokalizacja - brak mapy Google.,nowy,otwarty,
0001894,klewickai,klewickai,,normalny,ważny,zawsze,,Niefunkcjonalny,2023-04-20,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[ABOUT US] nieprawidłowe przekierowanie strony,nowy,otwarty,
0001890,klewickai,klewickai,,normalny,drobny,zawsze,,Niefunkcjonalny,2023-04-20,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Menu] brak nazw kategorii w rozwijanej liście zakładki Categories,nowy,otwarty,
0001888,klewickai,klewickai,,normalny,ważny,zawsze,,GUI,2023-04-20,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[ALL CATEGORIES] brak zdjęć kategorii produktów,nowy,otwarty,
0001886,klewickai,klewickai,,niski,poprawka,zawsze,,Tekstowy,2023-04-20,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Menu] błąd tekstowy kategorii,nowy,otwarty,
0001819,klewickai,klewickai,,niski,ważny,zawsze,,Niefunkcjonalny,2023-04-19,Windows,11,Chrome 112.0.5615.121    ,prywatny,2023-04-25,[Kategoria produktu]  przypisanie niezgodnie z opisem,nowy,otwarty,
0001817,klewickai,klewickai,,normalny,ważny,zawsze,,Funkcjonalny,2023-04-19,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[CART] Nie działa przycisk usuwania produktu z koszyka,nowy,otwarty,
0001816,klewickai,klewickai,,normalny,ważny,zawsze,,Techniczny,2023-04-19,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Home] błąd przycisków przeglądania kolejnych zdjęć w kategorii,nowy,otwarty,
0001815,klewickai,klewickai,,normalny,ważny,zawsze,,GUI,2023-04-19,,,,prywatny,2023-04-25,[Home] brak zdjęcia produktu,nowy,otwarty,
0001814,klewickai,klewickai,,niski,drobny,nie dotyczy,,Sugestia,2023-04-19,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[ADD TO CART] niejednolity kolor przycisku,nowy,otwarty,
0001813,klewickai,klewickai,,normalny,ważny,zawsze,,Niefunkcjonalny,2023-04-19,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Learn More] błedne przekierowanie przycisku,nowy,otwarty,
0001812,klewickai,klewickai,,normalny,ważny,zawsze,,Techniczny,2023-04-19,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Błąd 404] po kliknięciu na zdjęcie z promocją,nowy,otwarty,
0001811,klewickai,klewickai,,normalny,ważny,zawsze,,Techniczny,2023-04-19,Windows,11,Chrome 112.0.5615.121 ,prywatny,2023-04-25,[Błąd 404] po kliknięciu na zdjęcie z promocją,nowy,otwarty,
0001810,klewickai,klewickai,,niski,poprawka,zawsze,,Techniczny,2023-04-19,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Opis produktu] brak kategorii Reviews w opisie produktu,nowy,otwarty,
0001798,klewickai,klewickai,,normalny,ważny,zawsze,,GUI,2023-04-18,Windows ,11,Chrome 112.0.5615.121    Windows,prywatny,2023-04-25,[HOME] brak zdjęcia produktu,nowy,otwarty,
0001796,klewickai,klewickai,,pilny,błąd krytyczny,zawsze,,Funkcjonalny,2023-04-18,Windows,11,Chrome 112.0.5615.121    ,prywatny,2023-04-25,[ADD TO CART/ Ilość produktu] błędna domyślna ilość produktu dodawanego do koszyka,nowy,otwarty,
0001790,klewickai,klewickai,,wysoki,ważny,zawsze,,Funkcjonalny,2023-04-18,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Koszyk] brak automatycznej aktualizacji po dodaniu produktu do koszyka,nowy,otwarty,
0001784,klewickai,klewickai,,normalny,ważny,zawsze,,Niefunkcjonalny,2023-04-18,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Zdjęcie produktu] nie działają funkcje przycisków zdjęcia,nowy,otwarty,
0001776,klewickai,klewickai,,wysoki,ważny,zawsze,,Techniczny,2023-04-18,Windows,11,Chrome 112.0.5615.121,prywatny,2023-04-25,[Home/ Shop Now] brak funkcjonalności przycisku odsyłającego do sklepu,nowy,otwarty,
